epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9453,1.38382,2.4173,1.5118,0.43076,0.62959,0.54777,0.26476,1.32463,1.85408,1.2452,0.000549997,0.000549997,0.000549997
2,33.1798,1.28491,1.69544,1.35386,0.5074,0.67959,0.54099,0.33273,1.30239,2.0753,1.32867,0.00108377,0.00108377,0.00108377
3,47.5491,1.31276,1.65095,1.41233,0.49362,0.52959,0.60238,0.39041,1.33544,1.69633,1.38299,0.00159554,0.00159554,0.00159554
4,62.0691,1.32305,1.62353,1.41371,0.37132,0.72959,0.52559,0.23207,1.72995,2.31202,1.5756,0.00156798,0.00156798,0.00156798
5,76.1605,1.29739,1.5417,1.39013,0.35637,0.75,0.56228,0.3392,1.31402,1.53857,1.31723,0.00153497,0.00153497,0.00153497
6,90.5044,1.24468,1.51594,1.36152,0.43259,0.84037,0.55776,0.32213,1.33578,1.85782,1.32838,0.00150197,0.00150197,0.00150197
7,104.476,1.19311,1.4278,1.33825,0.38602,0.8302,0.6329,0.40704,1.12952,1.48891,1.18686,0.00146896,0.00146896,0.00146896
8,118.612,1.28457,1.47132,1.3862,0.37094,0.8,0.60856,0.38389,1.22981,1.29667,1.22033,0.00143595,0.00143595,0.00143595
9,132.908,1.24084,1.42823,1.32883,0.41248,0.65,0.5691,0.37887,1.19172,1.34673,1.18239,0.00140295,0.00140295,0.00140295
10,147.127,1.22476,1.4409,1.33454,0.38173,0.65,0.57359,0.38046,1.20057,1.38012,1.24389,0.00136994,0.00136994,0.00136994
11,161.515,1.25388,1.44815,1.37426,0.94486,0.44898,0.59231,0.40054,1.15432,1.38659,1.19797,0.00133693,0.00133693,0.00133693
12,175.723,1.25076,1.3971,1.3608,0.47206,0.80757,0.58877,0.34644,1.45253,1.43635,1.38833,0.00130393,0.00130393,0.00130393
13,189.782,1.18251,1.33712,1.31192,0.44558,0.87959,0.5704,0.35774,1.35679,1.3712,1.27936,0.00127092,0.00127092,0.00127092
14,203.941,1.11902,1.23641,1.28633,0.50322,0.77959,0.71441,0.46383,1.15793,1.30229,1.18071,0.00123791,0.00123791,0.00123791
15,218.077,1.20734,1.26777,1.29279,0.5999,0.5398,0.5461,0.30856,1.42519,1.56434,1.33921,0.00120491,0.00120491,0.00120491
16,231.946,1.1635,1.25464,1.32083,0.55032,0.7398,0.65366,0.39064,1.43282,1.25014,1.35599,0.0011719,0.0011719,0.0011719
17,245.896,1.19838,1.22855,1.33853,0.56139,0.7898,0.70766,0.49105,1.15449,1.2308,1.17676,0.00113889,0.00113889,0.00113889
18,260.468,1.14153,1.24169,1.31275,0.60355,0.62959,0.63339,0.31762,1.55713,1.29821,1.39046,0.00110589,0.00110589,0.00110589
19,274.795,1.12443,1.12948,1.2686,0.42945,0.6898,0.66145,0.46224,1.1408,1.10078,1.15856,0.00107288,0.00107288,0.00107288
20,289.396,1.10535,1.13321,1.26813,0.5066,0.8398,0.6916,0.45304,1.23538,1.13121,1.20945,0.00103987,0.00103987,0.00103987
21,303.439,1.0968,1.06892,1.2556,0.54498,0.8898,0.72392,0.50503,1.10199,1.0328,1.1362,0.00100687,0.00100687,0.00100687
22,318.058,1.19322,1.17438,1.34157,0.5356,0.72968,0.70263,0.43675,1.34319,1.1126,1.3118,0.000973861,0.000973861,0.000973861
23,332.176,1.13061,1.13431,1.31462,0.70059,0.8898,0.76899,0.52435,1.16081,1.0493,1.18133,0.000940855,0.000940855,0.000940855
24,346.811,1.10066,1.09808,1.25402,0.65275,0.84756,0.77414,0.51704,1.19806,1.02727,1.19645,0.000907848,0.000907848,0.000907848
25,361.195,1.09717,1.11223,1.26279,0.69871,0.82959,0.8397,0.57868,1.09649,1.01975,1.13355,0.000874842,0.000874842,0.000874842
26,375.396,1.06582,1.03651,1.25086,0.65886,0.79315,0.86329,0.56737,1.16112,0.95424,1.20339,0.000841835,0.000841835,0.000841835
27,389.316,1.1168,1.08403,1.27053,0.84398,0.87959,0.89691,0.59054,1.19396,0.93274,1.20326,0.000808828,0.000808828,0.000808828
28,403.465,1.0261,0.99545,1.23918,0.80292,0.87959,0.90314,0.65408,1.05249,0.87631,1.11346,0.000775822,0.000775822,0.000775822
29,417.402,1.08533,1.01654,1.28674,0.70345,0.83889,0.83948,0.622,0.97076,0.8841,1.09357,0.000742815,0.000742815,0.000742815
30,431.389,1.05495,0.99381,1.24342,0.74226,0.83847,0.83837,0.55294,1.15923,0.92524,1.1549,0.000709809,0.000709809,0.000709809
31,445.634,1.08544,0.96684,1.2462,0.73713,0.88024,0.8912,0.66343,0.98649,0.82184,1.07821,0.000676802,0.000676802,0.000676802
32,460.194,1.06791,1.07296,1.25188,0.77368,0.81939,0.84118,0.52438,1.26085,0.90256,1.2081,0.000643795,0.000643795,0.000643795
