epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
33,474.413,1.13819,0.99303,1.27393,0.872,0.76939,0.85582,0.54212,1.24546,0.87814,1.20064,0.000610789,0.000610789,0.000610789
34,488.415,1.0581,0.9791,1.25024,0.76721,0.82959,0.83406,0.60157,1.09398,0.80187,1.1159,0.000577782,0.000577782,0.000577782
35,504.579,0.99444,0.92768,1.19942,0.97395,0.79815,0.93329,0.662,1.14874,0.80986,1.12844,0.000544776,0.000544776,0.000544776
36,519.873,0.99397,0.87926,1.18798,0.8512,0.82959,0.91346,0.64006,1.11957,0.78339,1.12843,0.000511769,0.000511769,0.000511769
37,533.765,1.03389,0.95468,1.22507,0.94812,0.82365,0.91934,0.65237,1.09965,0.73502,1.11927,0.000478762,0.000478762,0.000478762
38,547.361,1.01178,0.94822,1.21112,0.80392,0.97959,0.94398,0.64317,1.12194,0.75816,1.15154,0.000445756,0.000445756,0.000445756
39,561.03,0.98125,0.87852,1.18997,0.92916,0.91939,0.95764,0.66043,1.0949,0.75326,1.13308,0.000412749,0.000412749,0.000412749
40,574.822,1.0001,0.89028,1.2104,0.97125,0.87121,0.96333,0.65334,1.10997,0.75493,1.1219,0.000379743,0.000379743,0.000379743
41,588.444,0.91541,0.81594,1.16368,0.93662,0.91744,0.97596,0.65174,1.16295,0.80161,1.14904,0.000346736,0.000346736,0.000346736
42,601.904,0.93887,0.78717,1.12617,0.9164,0.9453,0.96716,0.65996,1.13813,0.77949,1.13457,0.000313729,0.000313729,0.000313729
43,615.148,0.84236,0.75231,1.09633,0.85471,0.97345,0.95567,0.73584,0.94242,0.74835,1.05613,0.000280723,0.000280723,0.000280723
44,629.883,0.87964,0.75466,1.13669,0.84358,0.92049,0.94867,0.7029,1.02455,0.79356,1.08144,0.000247716,0.000247716,0.000247716
45,643.366,0.93937,0.73783,1.16809,0.90202,0.90364,0.97713,0.70118,1.16486,0.76405,1.13203,0.00021471,0.00021471,0.00021471
46,656.929,0.87082,0.71747,1.08577,0.94417,0.87889,0.97344,0.70173,1.16731,0.75393,1.13205,0.000181703,0.000181703,0.000181703
47,672.977,0.82329,0.66637,1.07815,0.92371,0.89898,0.9709,0.72588,1.09427,0.7297,1.10751,0.000148696,0.000148696,0.000148696
48,686.494,0.88054,0.68849,1.13448,0.97991,0.84587,0.9656,0.69559,1.05936,0.70825,1.10197,0.00011569,0.00011569,0.00011569
49,699.55,0.83006,0.69507,1.1161,0.97403,0.89059,0.97316,0.70517,1.04968,0.72928,1.10226,8.26832e-05,8.26832e-05,8.26832e-05
50,712.942,0.84631,0.66327,1.10664,0.98865,0.87428,0.973,0.70066,1.06573,0.71304,1.1052,4.96766e-05,4.96766e-05,4.96766e-05
